AAL
AAPL
ABBV
ABC
ACI
ACT
ADBE
AETI
AFL
AGEN
AGN
AIG
AKAM
ALDR
ALKS
ALSK
AMAT
AMD
AMGN
AMTD
AMZN
AN
ANF
ANTM
AOL
ARNA
ARR
ATHX
AVGO
AVP
AXP
BA
BAC
BBBY
BBRY
BCOV
BHI
BIDU
BIIB
BMY
BP
BSX
BUD
BX
C
CAG
CAH
CAT
CBS
CHK
CMCSA
CMG
COP
CPB
CPE
CREE
CROX
CSC
CSCO
CTCT
CTL
CTRP
CUB
CVS
CVX
CYS
CZR
DAL
DB
DDD
DE
DIS
DISH
DKS
DOW
DPS
DPZ
DRI
DRII
DRYS
DSNY
DTV
DUK
DYSL
EBAY
ECA
EMR
EROC
EXAS
EXEL
EXPE
F
FB
FCAU
FMS
FOSL
FOX
FOXA
FSLR
FTR
GD
GE
GILD
GIMO
GIS
GLD
GM
GME
GNW
GOOGL
GPOR
GPRO
GPS
GRMN
GRPN
GS
GSK
GT
GTE
HAL
HAS
HCBK
HD
HLF
HMC
HPQ
HRS
HSP
IBM
INTC
INVN
IPG
IPXL
IR
IRDM
ITT
JASO
JCI
JCP
JD
JMBA
JNJ
JPM
JWN
K
KBH
KFX
KKD
KMI
KMP
KNDI
KO
KR
KRFT
KTWO
L
LAZ
LE
LGF
LINE
LLY
LNKD
LNVGY
LSCC
LULU
LUV
LXK
LZB
M
MCD
MCO
MDLZ
MDT
MET
MGM
MMM
MON
MRK
MSFT
MSG
MTB
MU
NCR
NFLX
NQ
NRG
NTAP
NVDA
NVO
NVS
NWS
ORCL
OXLC
P
PANW
PBPB
PEP
PERY
PFE
PGNX
PIR
PM
POST
POT
PSEC
QCOM
QUAD
RAD
RAX
RDN
RGSE
RHP
RIG
RIO
RSH
RST
RTN
RXII
S
SAN
SBUX
SCTY
SDRL
SEAS
SIEGY
SJM
SLXP
SNE
SNY
SODA
SOHU
SPLS
SRE
ST
STAY
SWHC
SWIR
SWKS
SXC
SYY
T
TASR
TEVA
TGT
TIME
TKMR
TM
TRIP
TSLA
TSN
TSO
TTM
TWC
TWTR
TXN
UBS
UEC
UNP
UPS
VFC
VLO
VMI
VMW
VRSN
VRX
VVUS
VZ
WAG
WCG
WFM
WM
WMT
WTW
XOM
YELP
YHOO
YUM
Z
ZNGA
ZU
